word,counter
leather,23472
fashion,1670
garments,91
tanneries,1346
development,46
sustainable,1261
safe,71
care,541
environment,438
responsible,211
skin,886
clothes,417
traceability,36
community,444
renewable,42
social,103
chrome,310
furniture,38
green,170
ethics,29
ethical,221
pelt,9
hide,189
eco,139
calfskin,11
sustainability,166
responsibility,27
respect,112
charity,41
tanning,149
culture,69
climate,136
footwear,152
tannins,4
jobs,80
dyeing,5
volunteer,17
transparency,10
rawhide,6
awareness,35
ethic,11
safety,28
recycle,11
diversity,11
stakeholder,2
nonprofit,2
Guidi,1
CSR,4
JBS,3
vegetal,1
